,city,lat,lon,countries,humidity,cloudiness,max_temp,wind_speed
261,Aswan,24.09,32.9,EG,46,3,68.74,5.68
262,Bull Savanna,17.89,-77.59,JM,93,100,71.67,1.05
263,Provideniya,64.42,-173.23,RU,90,20,19.29,1.92
264,Broome,52.47,1.45,GB,93,92,52.0,13.87
265,Ambanja,-13.68,48.45,MG,87,90,74.73,3.44
266,Bagaha,27.1,84.09,IN,76,34,69.44,3.4
267,Pregradnoye,45.82,41.75,RU,65,0,27.59,6.64
268,Menongue,-14.66,17.68,AO,67,26,63.86,3.24
269,Olinda,-37.84,145.39,AU,88,40,66.0,4.7
270,Alpena,45.06,-83.43,US,80,75,39.2,4.7
271,Narsaq,60.91,-46.05,GL,54,0,30.2,2.24
272,Shitanjing,39.23,106.34,CN,38,0,46.0,4.0
273,Vila Velha,-3.71,-38.6,BR,74,20,80.6,10.29
274,Chuy,-33.69,-53.46,UY,92,100,64.99,10.09
275,Kavieng,-2.57,150.8,PG,87,100,81.16,17.09
276,Sampit,-2.54,112.95,ID,86,100,79.03,0.98
277,Sumkino,58.11,68.32,RU,92,100,21.18,7.4
278,Padang,-0.92,100.36,ID,81,34,67.05,2.21
279,Yerofey Pavlovich,53.97,121.97,RU,83,0,12.63,2.21
280,Lebowakgomo,-24.3,29.54,ZA,59,48,66.2,6.93
281,Mount Isa,-20.73,139.49,AU,51,1,82.4,5.82
282,Kuching,1.56,110.34,MY,94,75,75.2,2.24
283,Aitape,-3.15,142.36,PG,79,100,81.19,0.04
284,Zheleznogorsk-Ilimskiy,56.58,104.12,RU,97,100,28.4,4.72
285,Payakumbuh,-0.23,100.63,ID,83,44,65.37,3.24
286,San Luis,-33.3,-66.34,AR,23,2,66.97,11.1
287,Urusha,54.05,122.9,RU,81,20,10.83,1.21
288,Guerrero Negro,27.97,-114.04,MX,21,100,79.16,11.18
289,Bethel,60.79,-161.76,US,68,1,26.6,16.11
290,Mokokchung,26.32,94.52,IN,93,0,62.28,1.9
291,Flinders,-34.58,150.85,AU,60,75,81.0,14.18
292,Pangnirtung,66.15,-65.72,CA,91,100,20.03,6.4
